,Job Title,Company Name,Salary Estimate,Job Position,Job Acedemic Requiremnt,Job Week Cutom Font,Job Time Cutom Font,Company Field,Company Size
129,数据分析实习生实习招聘-阳狮集团实习生招聘-实习僧," 
                        阳狮集团
                         “”",100/天,广州,本科,5天／周,实习3个月,广告/传媒/公关/展览,150-500
130,数据分析实习生实习招聘-金山WPS实习生招聘-实习僧," 
                        金山WPS
                         “”",100-150/天,珠海,本科,5天／周,实习3个月,互联网/游戏/软件,500-2000
131,数据分析实习生实习招聘-擎朗智能实习生招聘-实习僧," 
                        擎朗智能
                         “”",120-200/天,上海,本科,4天／周,实习3个月,互联网/游戏/软件,500-2000
132,数据分析岗实习生实习招聘-德勤华永实习生招聘-实习僧," 
                        德勤华永
                         “”",100-150/天,广州,本科,5天／周,实习3个月,企业服务/咨询,2000以上
133,数据分析实习生实习招聘-汽车之家实习生招聘-实习僧," 
                        汽车之家
                         “”",180-250/天,北京,本科,5天／周,实习3个月,互联网/游戏/软件,2000以上
134,数据分析实习生实习招聘-VMLY&R实习生招聘-实习僧," 
                        VMLY&R
                         “”",120-150/天,上海,本科,3天／周,实习3个月,广告/传媒/公关/展览,150-500
135,数据分析实习生实习招聘-福思特实习生招聘-实习僧," 
                        福思特
                         “”",120-150/天,武汉,本科,5天／周,实习3个月,互联网/游戏/软件,未知规模
136,数据分析实习生实习招聘-瀛数科技实习生招聘-实习僧," 
                        瀛数科技
                         “”",200-300/天,上海,本科,5天／周,实习3个月,企业服务/咨询,15-50
137,数据分析助理实习招聘-赛商数据实习生招聘-实习僧," 
                        赛商数据
                         “”",200-300/天,上海,不限,5天／周,实习3个月,不限,15-50
138,数据分析实习生实习招聘-深演智能实习生招聘-实习僧," 
                        深演智能
                         “”",150-180/天,北京,本科,4天／周,实习3个月,互联网/游戏/软件,150-500
139,数据分析实习生实习招聘-中央企业远程医疗平台实习生招聘-实习僧," 
                        中央企业远程医疗平台
                         “”",150-250/天,深圳,本科,5天／周,实习6个月,互联网/游戏/软件,50-150
140,数据分析实习生实习招聘-中安科技实习生招聘-实习僧," 
                        中安科技
                         “”",150/天,上海,不限,5天／周,实习3个月,电子/通信/硬件,50-150
141,数据分析实习生实习招聘-小米实习生招聘-实习僧," 
                        小米
                         “”",250-400/天,北京,本科,5天／周,实习4个月,互联网/游戏/软件,2000以上
